index,ID_Two,Address,City,Latitude,Longitude,Price,Restaurant,Pizza_Type
0,AVz3Y-7h3D1zeR_xDAqm,4203 E Kiehl Ave,Sherwood,34.8323,-92.1838,25.0,Shotgun Dans Pizza,Cheese Pizza
1,AVweGPFF_7pvs4fzAAzQ,25 E Camelback Rd,Phoenix,33.509266,-112.073044,25.0,Sauce Pizza Wine,Pizza Cookie
2,AVwdRGa9_7pvs4fz4E3K,3703 Paxton Ave,Cincinnati,39.144883,-84.43268499999999,25.0,Mios Pizzeria,Pizza Blanca
3,AVwdX4psIN2L1WUfvJB1,30495 John R Rd,Madison Heights,42.516669,-83.10663000000001,40.0,Hungry Howies Pizza,Small Pizza
4,AVwdaeTtkufWRAb55pSH,3600 Eastern Ave,Baltimore,39.28663,-76.56698399999999,25.0,Spartan Pizzeria,Pizza Sub
5,AVwdaeTtkufWRAb55pSH,3600 Eastern Ave,Baltimore,39.28663,-76.56698399999999,25.0,Spartan Pizzeria,White Pizza
6,AVwckQhv_7pvs4fzwhpf,1834 Euclid Ave,Berkeley,37.875496000000005,-122.260345,25.0,La Vals,Two Topping Pizza
7,AVwckQhv_7pvs4fzwhpf,1834 Euclid Ave,Berkeley,37.875496000000005,-122.260345,25.0,La Vals,Three Or More Topping Pizza
8,AVwcvnln_7pvs4fzyfqZ,4819 Kerry Forest Pkwy,Tallahassee,30.537096999999996,-84.21515600000001,25.0,Brickyard Pizza,Pizza
9,AVwcvnln_7pvs4fzyfqZ,4819 Kerry Forest Pkwy,Tallahassee,30.537096999999996,-84.21515600000001,25.0,Brickyard Pizza,Pizza
10,AVwchRVZkufWRAb5wDIV,4061 28th St SE,Grand Rapids,42.912878000000006,-85.566939,40.0,Carrabbas Italian Grill,Kids Cheese Pizza
11,AVwchRVZkufWRAb5wDIV,4061 28th St SE,Grand Rapids,42.912878000000006,-85.566939,40.0,Carrabbas Italian Grill,Create Your Own Pizza
12,AVwchRVZkufWRAb5wDIV,4061 28th St SE,Grand Rapids,42.912878000000006,-85.566939,40.0,Carrabbas Italian Grill,Prosciutto Arugula Pizza
13,AVwchRVZkufWRAb5wDIV,4061 28th St SE,Grand Rapids,42.912878000000006,-85.566939,40.0,Carrabbas Italian Grill,Kids Pepperoni Pizza
14,AVwc7s1wIN2L1WUfqehD,146 N Glendora Ave,Glendora,34.137502000000005,-117.86533100000001,25.0,Domenicos Jr,Three Cheese Pizza
15,AVwc7s1wIN2L1WUfqehD,146 N Glendora Ave,Glendora,34.137502000000005,-117.86533100000001,25.0,Domenicos Jr,Three Cheese Pizza
16,AVwc7s1wIN2L1WUfqehD,146 N Glendora Ave,Glendora,34.137502000000005,-117.86533100000001,25.0,Domenicos Jr,Pizza Sandwich
17,AVwc2xOokufWRAb5zu4_,965 N Resler Dr,El Paso,31.862409000000003,-106.558431,25.0,Little Caesars Pizza,HotNReady Large Pizza
18,AVwcr0iskufWRAb5x6lr,8111 Rowlock Way,Raleigh,35.884857000000004,-78.737707,25.0,Tonys Pizza,"15"" Plain Cheese Pizza"
19,AVwdfIbIByjofQCxplnX,4111 Main St,Philadelphia,40.022413,-75.218579,25.0,Mikes Pizza,Pizza Fries
20,AVwedtwTIN2L1WUf5Kjd,4024 Canal St,New Orleans,29.974032,-90.100317,40.0,Theos Neighborhood Pizza,Bacon & Blue Cheese Pizza
21,AVwedtwTIN2L1WUf5Kjd,4024 Canal St,New Orleans,29.974032,-90.100317,40.0,Theos Neighborhood Pizza,Chicken Pesto Pizza
22,AVwedtwTIN2L1WUf5Kjd,4024 Canal St,New Orleans,29.974032,-90.100317,40.0,Theos Neighborhood Pizza,Big Dave's Buffalo Chicken Pizza
23,AVwdixeC_7pvs4fz67Pw,1584 N Woodland Blvd,DeLand,29.046703000000004,-81.30381700000001,25.0,Hungry Howies Pizza,Pizza Sub
24,AVwdixeC_7pvs4fz67Pw,1584 N Woodland Blvd,DeLand,29.046703000000004,-81.30381700000001,25.0,Hungry Howies Pizza,1 Topping Pizza
25,AVwdixeC_7pvs4fz67Pw,1584 N Woodland Blvd,DeLand,29.046703000000004,-81.30381700000001,25.0,Hungry Howies Pizza,Plue 2 liter Soda with 2ampcomma Pizza
